Date,Material_ID,Stock_Qty,Daily_Consumption,Reorder_Level,Lead_Time_Days
2025-01-01,RM01,1219,126,1184,16
2025-01-01,RM02,1083,68,1062,9
2025-01-01,RM03,1245,96,1349,10
2025-01-01,RM04,3897,98,906,19
2025-01-01,RM05,2631,197,1062,8
2025-01-01,RM06,1721,156,1489,25
2025-01-01,RM07,3113,80,1344,8
2025-01-01,RM08,256,51,985,40
2025-01-01,RM09,2241,132,1446,7
2025-01-01,RM10,1863,189,813,8
2025-01-01,RM11,3865,89,1117,7
2025-01-01,RM12,1764,78,1362,6
2025-01-02,RM01,2937,133,1408,12
2025-01-02,RM02,4387,53,1435,12
2025-01-02,RM03,4765,154,1127,6
2025-01-02,RM04,4357,173,993,9
2025-01-02,RM05,4757,76,1226,6
2025-01-02,RM06,3271,128,1170,22
2025-01-02,RM07,3928,96,1499,11
2025-01-02,RM08,495,142,1031,35
2025-01-02,RM09,4039,152,1135,5
2025-01-02,RM10,3957,75,1128,21
2025-01-02,RM11,2636,52,1415,25
2025-01-02,RM12,4764,90,898,16
2025-01-03,RM01,4188,96,1448,20
2025-01-03,RM02,4077,88,1392,9
2025-01-03,RM03,2021,122,1222,12
2025-01-03,RM04,4437,188,1108,8
2025-01-03,RM05,2729,69,1473,18
2025-01-03,RM06,4105,85,1263,11
2025-01-03,RM07,2938,56,1474,12
2025-01-03,RM08,943,164,1469,47
2025-01-03,RM09,2565,51,813,25
2025-01-03,RM10,1315,182,1107,25
2025-01-03,RM11,4302,159,1194,25
2025-01-03,RM12,3495,138,1385,11
2025-01-04,RM01,3578,163,889,5
2025-01-04,RM02,1694,63,1363,13
2025-01-04,RM03,2558,147,1167,20
2025-01-04,RM04,1766,138,1190,5
2025-01-04,RM05,1926,126,1264,10
2025-01-04,RM06,1523,65,992,22
2025-01-04,RM07,4724,68,1443,21
2025-01-04,RM08,1061,166,905,42
2025-01-04,RM09,992,131,1458,14
2025-01-04,RM10,4784,147,861,10
2025-01-04,RM11,3794,56,1265,6
2025-01-04,RM12,3083,167,1391,6
