Order_ID,Product_ID,Order_Qty,Order_Date,Due_Date,Dispatch_Date,Status
O00001,P102,1513,2025-01-16,2025-02-05,2025-02-05,On Time
O00002,P103,1144,2025-12-18,2026-01-03,2026-01-03,On Time
O00003,P104,1979,2025-05-16,2025-05-27,2025-05-26,In Progress
O00004,P102,1464,2025-10-30,2025-11-17,2025-11-24,Delayed
O00005,P104,1887,2025-03-03,2025-03-15,2025-03-15,On Time
O00006,P102,1565,2025-02-05,2025-02-23,2025-02-23,On Time
O00007,P103,1140,2025-02-07,2025-02-24,2025-02-23,On Time
O00008,P104,880,2025-10-11,2025-10-16,2025-10-16,On Time
O00009,P102,480,2025-03-05,2025-03-24,2025-03-23,In Progress
O00010,P104,1597,2025-11-04,2025-11-13,2025-11-11,On Time
O00011,P102,868,2025-02-03,2025-02-12,2025-02-11,In Progress
O00012,P104,1712,2025-09-12,2025-09-23,2025-09-21,On Time
O00013,P101,1249,2025-12-07,2025-12-21,2025-12-21,In Progress
O00014,P103,530,2025-03-02,2025-03-18,2025-03-17,On Time
O00015,P102,839,2025-03-27,2025-04-03,2025-04-08,Delayed
O00016,P103,412,2025-04-10,2025-04-20,2025-04-20,On Time
O00017,P103,555,2025-04-20,2025-05-08,2025-05-11,Delayed
O00018,P101,1676,2025-06-26,2025-07-03,2025-07-01,In Progress
O00019,P102,226,2025-08-18,2025-09-07,2025-09-07,In Progress
O00020,P103,686,2025-12-25,2026-01-12,2026-01-11,On Time
O00021,P104,570,2025-12-02,2025-12-14,2025-12-12,On Time
O00022,P102,901,2025-07-31,2025-08-18,2025-08-16,In Progress
O00023,P102,300,2025-12-21,2025-12-28,2025-12-26,In Progress
O00024,P104,445,2025-08-15,2025-09-02,2025-09-01,In Progress
O00025,P101,1256,2025-04-09,2025-04-24,2025-04-23,On Time
O00026,P103,1739,2025-05-20,2025-06-06,2025-06-04,In Progress
O00027,P103,1875,2025-01-26,2025-02-01,2025-01-31,In Progress
O00028,P102,933,2025-07-29,2025-08-07,2025-08-05,In Progress
O00029,P101,1248,2025-11-24,2025-12-11,2025-12-11,In Progress
O00030,P101,1865,2025-10-16,2025-10-25,2025-10-25,In Progress
O00031,P101,815,2025-09-07,2025-09-24,2025-09-24,On Time
O00032,P104,1976,2025-06-14,2025-07-01,2025-07-01,On Time
O00033,P104,1448,2025-04-27,2025-05-10,2025-05-10,In Progress
O00034,P101,1010,2025-02-11,2025-02-23,2025-02-23,In Progress
O00035,P104,571,2025-04-03,2025-04-20,2025-04-25,Delayed
O00036,P103,1586,2025-09-01,2025-09-14,2025-09-13,On Time
O00037,P104,1877,2025-02-01,2025-02-08,2025-02-08,In Progress
O00038,P103,1799,2025-10-13,2025-10-18,2025-10-16,In Progress
O00039,P104,1524,2025-06-18,2025-07-04,2025-07-04,In Progress
O00040,P104,1886,2025-08-12,2025-08-29,2025-08-29,In Progress
O00041,P103,1364,2025-08-23,2025-08-28,2025-08-26,On Time
O00042,P101,644,2025-08-23,2025-09-05,2025-09-05,In Progress
O00043,P102,617,2025-09-25,2025-10-02,2025-09-30,On Time
O00044,P101,1751,2025-01-07,2025-01-22,2025-01-22,In Progress
O00045,P103,1761,2025-12-31,2026-01-15,2026-01-13,On Time
O00046,P101,1433,2025-09-10,2025-09-23,2025-09-22,On Time
O00047,P104,1266,2025-07-30,2025-08-07,2025-08-06,In Progress
O00048,P104,511,2025-04-07,2025-04-14,2025-04-13,In Progress
O00049,P104,638,2025-04-05,2025-04-13,2025-04-12,In Progress
O00050,P101,357,2025-04-10,2025-04-22,2025-04-28,Delayed
O00051,P104,294,2025-12-23,2026-01-08,2026-01-07,On Time
O00052,P103,1181,2025-06-18,2025-07-02,2025-07-02,In Progress
O00053,P104,465,2025-12-16,2026-01-01,2026-01-01,In Progress
O00054,P101,248,2025-08-18,2025-09-04,2025-09-03,On Time
O00055,P104,1045,2025-01-16,2025-01-21,2025-01-21,In Progress
O00056,P103,1869,2025-08-19,2025-09-05,2025-09-10,Delayed
O00057,P101,1649,2025-09-28,2025-10-06,2025-10-05,On Time
O00058,P104,938,2025-01-20,2025-01-30,2025-02-05,Delayed
O00059,P102,202,2025-10-09,2025-10-27,2025-10-25,In Progress
O00060,P103,816,2025-05-21,2025-05-26,2025-05-24,In Progress
O00061,P104,867,2025-02-01,2025-02-19,2025-02-24,Delayed
O00062,P101,535,2025-07-13,2025-07-31,2025-08-03,Delayed
O00063,P104,704,2025-09-21,2025-09-28,2025-09-27,On Time
O00064,P101,1605,2025-01-10,2025-01-20,2025-01-19,On Time
O00065,P103,1322,2025-08-17,2025-09-02,2025-08-31,In Progress
O00066,P101,714,2025-08-16,2025-08-26,2025-08-24,In Progress
O00067,P101,123,2025-11-21,2025-12-04,2025-12-04,In Progress
O00068,P103,1031,2025-08-22,2025-08-29,2025-08-27,In Progress
O00069,P103,230,2025-04-15,2025-04-28,2025-04-27,On Time
O00070,P103,845,2025-04-02,2025-04-07,2025-04-05,On Time
O00071,P101,778,2025-11-25,2025-12-04,2025-12-02,On Time
O00072,P101,1597,2025-08-03,2025-08-13,2025-08-12,In Progress
O00073,P102,1695,2025-12-10,2025-12-29,2025-12-28,In Progress
O00074,P103,374,2025-02-06,2025-02-11,2025-02-11,On Time
O00075,P102,226,2025-12-29,2026-01-11,2026-01-09,On Time
O00076,P104,1521,2025-11-18,2025-11-30,2025-11-30,On Time
O00077,P104,1110,2025-01-11,2025-01-16,2025-01-16,In Progress
