Production_Date,Shift,Line,Machine_ID,Product_ID,Planned_Qty,Actual_Qty,Runtime_Hours,Setup_Time_Min
2025-01-01,Day,Line1,M101,P101,865,843,7.6,15
2025-01-01,Night,Line1,M101,P102,969,906,7.4,42
2025-01-01,Day,Line1,M102,P101,1137,1083,6.59,22
2025-01-01,Night,Line1,M102,P104,962,897,7.8,38
2025-01-01,Day,Line1,M103,P103,853,859,6.53,20
2025-01-01,Night,Line1,M103,P104,1024,986,7.95,27
2025-01-01,Day,Line1,M104,P102,960,908,6.77,31
2025-01-01,Night,Line1,M104,P101,897,857,6.78,34
2025-01-01,Day,Line2,M201,P101,1033,999,7.15,32
2025-01-01,Night,Line2,M201,P103,872,769,6.94,39
2025-01-01,Day,Line2,M202,P101,1043,969,6.94,15
2025-01-01,Night,Line2,M202,P103,1171,1111,7.05,33
2025-01-01,Day,Line2,M203,P102,885,888,6.8,12
2025-01-01,Night,Line2,M203,P102,998,931,7.27,15
2025-01-01,Day,Line2,M204,P102,901,850,7.41,34
2025-01-01,Night,Line2,M204,P103,1082,1020,6.76,33
2025-01-01,Day,Line3,M301,P102,1039,926,7.53,32
2025-01-01,Night,Line3,M301,P102,1193,1051,7.16,27
2025-01-01,Day,Line3,M302,P101,1161,1056,6.55,20
2025-01-01,Night,Line3,M302,P102,933,800,7.86,39
2025-01-01,Day,Line3,M303,P104,988,923,6.97,45
2025-01-01,Night,Line3,M303,P102,1200,1024,7.28,30
2025-01-01,Day,Line3,M304,P101,967,841,7.95,12
2025-01-01,Night,Line3,M304,P103,1055,945,7.66,27
2025-01-01,Day,Line4,M401,P101,958,940,6.63,30
2025-01-01,Night,Line4,M401,P102,1185,1119,6.79,41
2025-01-01,Day,Line4,M402,P104,1179,1127,7.08,39
2025-01-01,Night,Line4,M402,P102,985,917,6.91,18
2025-01-01,Day,Line4,M403,P102,1137,1075,6.92,44
2025-01-01,Night,Line4,M403,P103,1149,1116,7.31,37
2025-01-01,Day,Line4,M404,P104,1035,1003,6.61,24
2025-01-01,Night,Line4,M404,P102,1110,1030,7.98,41
2025-01-02,Day,Line1,M101,P101,874,821,6.51,17
2025-01-02,Night,Line1,M101,P102,1171,1122,7.72,20
2025-01-02,Day,Line1,M102,P104,1155,1144,7.66,14
2025-01-02,Night,Line1,M102,P104,1045,1011,6.61,39
2025-01-02,Day,Line1,M103,P103,1133,1059,7.79,10
2025-01-02,Night,Line1,M103,P101,1199,1115,7.43,44
2025-01-02,Day,Line1,M104,P103,1178,1113,6.97,31
2025-01-02,Night,Line1,M104,P101,1000,934,6.99,37
2025-01-02,Day,Line2,M201,P102,1082,1065,7.83,10
2025-01-02,Night,Line2,M201,P103,1106,1084,7.21,21
2025-01-02,Day,Line2,M202,P101,1170,1135,7.64,29
2025-01-02,Night,Line2,M202,P102,928,854,7.34,33
2025-01-02,Day,Line2,M203,P102,1126,1079,7.28,43
2025-01-02,Night,Line2,M203,P101,1156,1140,7.14,30
2025-01-02,Day,Line2,M204,P104,859,826,6.97,17
2025-01-02,Night,Line2,M204,P103,1007,937,7.26,25
2025-01-02,Day,Line3,M301,P101,973,879,7.12,15
2025-01-02,Night,Line3,M301,P101,1098,988,7.63,14
2025-01-02,Day,Line3,M302,P102,915,810,7.89,40
2025-01-02,Night,Line3,M302,P102,985,861,7.71,43
2025-01-02,Day,Line3,M303,P104,958,898,7.71,44
2025-01-02,Night,Line3,M303,P102,1009,907,6.78,35
2025-01-02,Day,Line3,M304,P103,1074,980,7.71,43
2025-01-02,Night,Line3,M304,P104,911,837,7.84,25
2025-01-02,Day,Line4,M401,P102,882,828,6.84,31
2025-01-02,Night,Line4,M401,P101,1151,1070,7.14,45
2025-01-02,Day,Line4,M402,P102,1151,1115,6.51,24
2025-01-02,Night,Line4,M402,P101,886,839,7.27,13
2025-01-02,Day,Line4,M403,P102,884,811,6.68,12
2025-01-02,Night,Line4,M403,P103,886,821,7.01,42
2025-01-02,Day,Line4,M404,P102,992,947,7.28,41
2025-01-02,Night,Line4,M404,P102,1126,1072,7.55,18
2025-01-03,Day,Line1,M101,P104,974,942,7.94,40
2025-01-03,Night,Line1,M101,P104,947,888,6.88,16
2025-01-03,Day,Line1,M102,P101,1187,1071,6.93,37
2025-01-03,Night,Line1,M102,P103,1066,1001,6.56,36
2025-01-03,Day,Line1,M103,P104,877,843,6.58,16
2025-01-03,Night,Line1,M103,P101,1056,1070,6.92,31
2025-01-03,Day,Line1,M104,P101,977,932,6.72,22
2025-01-03,Night,Line1,M104,P102,1124,1066,7.23,38
2025-01-03,Day,Line2,M201,P102,1066,1059,6.86,21
2025-01-03,Night,Line2,M201,P103,1086,1045,7.59,25
2025-01-03,Day,Line2,M202,P101,1076,1078,7.45,45
2025-01-03,Night,Line2,M202,P101,875,785,7.3,44
2025-01-03,Day,Line2,M203,P101,897,834,6.56,25
2025-01-03,Night,Line2,M203,P102,1058,976,7.39,41
2025-01-03,Day,Line2,M204,P104,959,876,7.47,35
2025-01-03,Night,Line2,M204,P101,934,879,6.76,34
2025-01-03,Day,Line3,M301,P101,1049,925,7.91,26
2025-01-03,Night,Line3,M301,P104,996,932,6.71,37
2025-01-03,Day,Line3,M302,P104,929,823,7.89,22
2025-01-03,Night,Line3,M302,P103,961,846,7.82,13
2025-01-03,Day,Line3,M303,P101,1010,943,7.73,13
2025-01-03,Night,Line3,M303,P101,1149,980,7.33,40
2025-01-03,Day,Line3,M304,P102,879,757,6.64,42
2025-01-03,Night,Line3,M304,P101,945,846,7.85,14
2025-01-03,Day,Line4,M401,P101,1195,1156,7.01,25
2025-01-03,Night,Line4,M401,P104,911,877,7.02,25
2025-01-03,Day,Line4,M402,P101,1167,1138,7.83,15
2025-01-03,Night,Line4,M402,P104,1186,1125,7.67,43
2025-01-03,Day,Line4,M403,P103,983,923,6.74,23
2025-01-03,Night,Line4,M403,P103,972,920,7.85,26
2025-01-03,Day,Line4,M404,P104,917,888,6.51,29
2025-01-03,Night,Line4,M404,P104,1011,928,6.74,14
2025-01-04,Day,Line1,M101,P101,1084,1101,7.48,16
2025-01-04,Night,Line1,M101,P101,1125,1073,6.84,23
2025-01-04,Day,Line1,M102,P103,917,853,6.99,32
2025-01-04,Night,Line1,M102,P101,975,939,7.62,33
2025-01-04,Day,Line1,M103,P103,930,919,7.49,38
2025-01-04,Night,Line1,M103,P103,1163,1107,7.35,43
2025-01-04,Day,Line1,M104,P101,1191,1134,6.9,45
2025-01-04,Night,Line1,M104,P103,1189,1090,6.87,16
2025-01-04,Day,Line2,M201,P102,985,943,7.84,17
2025-01-04,Night,Line2,M201,P101,1133,1076,7.45,19
2025-01-04,Day,Line2,M202,P103,994,954,7.37,23
2025-01-04,Night,Line2,M202,P103,954,938,7.24,26
2025-01-04,Day,Line2,M203,P104,978,957,6.92,13
2025-01-04,Night,Line2,M203,P101,1174,1073,6.54,37
2025-01-04,Day,Line2,M204,P103,872,809,7.91,10
2025-01-04,Night,Line2,M204,P103,916,874,7.93,26
2025-01-04,Day,Line3,M301,P102,1076,971,6.52,45
2025-01-04,Night,Line3,M301,P104,1137,1036,7.89,10
2025-01-04,Day,Line3,M302,P101,888,820,7.95,19
2025-01-04,Night,Line3,M302,P101,1039,922,7.78,45
2025-01-04,Day,Line3,M303,P102,1070,946,7.78,18
2025-01-04,Night,Line3,M303,P101,1007,850,6.98,33
2025-01-04,Day,Line3,M304,P101,1033,946,7.9,23
2025-01-04,Night,Line3,M304,P102,1191,1015,7.54,16
2025-01-04,Day,Line4,M401,P103,1136,1060,7.42,36
2025-01-04,Night,Line4,M401,P102,971,917,7.99,20
2025-01-04,Day,Line4,M402,P102,1061,1020,7.82,11
2025-01-04,Night,Line4,M402,P102,1020,923,7.61,36
2025-01-04,Day,Line4,M403,P102,986,978,7.04,20
2025-01-04,Night,Line4,M403,P101,1045,1015,6.94,12
2025-01-04,Day,Line4,M404,P104,963,939,7.8,22
2025-01-04,Night,Line4,M404,P104,1029,983,7.87,29
2025-01-05,Day,Line1,M101,P102,964,940,7.7,11
2025-01-05,Night,Line1,M101,P102,1054,1112,7.47,31
2025-01-05,Day,Line1,M102,P103,885,874,7.84,27
2025-01-05,Night,Line1,M102,P103,1178,1130,7.01,42
2025-01-05,Day,Line1,M103,P104,1197,1121,7.37,44
2025-01-05,Night,Line1,M103,P103,864,806,6.55,17
2025-01-05,Day,Line1,M104,P103,941,968,6.93,26
2025-01-05,Night,Line1,M104,P101,905,800,7.39,37
2025-01-05,Day,Line2,M201,P103,1010,955,6.69,37
2025-01-05,Night,Line2,M201,P101,1047,1018,7.28,22
2025-01-05,Day,Line2,M202,P103,872,818,7.43,37
2025-01-05,Night,Line2,M202,P101,1116,1071,6.63,44
2025-01-05,Day,Line2,M203,P102,1036,995,7.31,37
2025-01-05,Night,Line2,M203,P101,1190,1095,7.46,31
2025-01-05,Day,Line2,M204,P103,1189,1069,7.69,17
2025-01-05,Night,Line2,M204,P103,1109,1048,6.91,29
2025-01-05,Day,Line3,M301,P104,1017,901,6.54,35
2025-01-05,Night,Line3,M301,P103,1133,1004,7.94,18
2025-01-05,Day,Line3,M302,P102,1065,985,7.11,34
2025-01-05,Night,Line3,M302,P102,1165,1067,6.76,29
2025-01-05,Day,Line3,M303,P104,1130,1012,7.32,10
2025-01-05,Night,Line3,M303,P103,996,866,7.57,23
2025-01-05,Day,Line3,M304,P104,1146,999,7.93,30
2025-01-05,Night,Line3,M304,P104,1076,987,7.61,38
2025-01-05,Day,Line4,M401,P102,1111,1137,7.13,40
2025-01-05,Night,Line4,M401,P102,1187,1152,6.87,15
2025-01-05,Day,Line4,M402,P103,1113,1110,6.52,31
2025-01-05,Night,Line4,M402,P101,970,891,6.67,29
2025-01-05,Day,Line4,M403,P102,951,925,7.21,19
2025-01-05,Night,Line4,M403,P101,873,840,6.65,25
2025-01-05,Day,Line4,M404,P104,1162,1002,6.76,14
2025-01-05,Night,Line4,M404,P104,1062,965,7.15,22
2025-01-06,Day,Line1,M101,P104,1103,1112,7.45,35
2025-01-06,Night,Line1,M101,P102,925,829,6.57,10
2025-01-06,Day,Line1,M102,P101,1067,1070,7.25,24
2025-01-06,Night,Line1,M102,P102,1115,1000,7.78,39
2025-01-06,Day,Line1,M103,P101,1135,1056,6.61,25
2025-01-06,Night,Line1,M103,P101,1083,1033,7.46,18
2025-01-06,Day,Line1,M104,P104,1191,1145,7.91,43
2025-01-06,Night,Line1,M104,P103,1076,999,7.36,42
2025-01-06,Day,Line2,M201,P104,1130,1138,7.19,38
2025-01-06,Night,Line2,M201,P102,1093,986,7.32,38
2025-01-06,Day,Line2,M202,P103,976,932,7.94,27
2025-01-06,Night,Line2,M202,P104,1170,1120,7.86,25
2025-01-06,Day,Line2,M203,P103,1075,1041,6.61,14
2025-01-06,Night,Line2,M203,P103,970,893,6.98,27
2025-01-06,Day,Line2,M204,P103,1013,954,6.68,44
2025-01-06,Night,Line2,M204,P101,920,888,7.55,19
2025-01-06,Day,Line3,M301,P102,1046,980,7.6,19
2025-01-06,Night,Line3,M301,P102,882,793,7.71,36
2025-01-06,Day,Line3,M302,P104,1019,901,7.63,44
2025-01-06,Night,Line3,M302,P104,1062,927,7.71,13
2025-01-06,Day,Line3,M303,P102,1065,968,7.06,34
2025-01-06,Night,Line3,M303,P101,1144,1022,7.66,34
2025-01-06,Day,Line3,M304,P104,853,790,7.79,32
2025-01-06,Night,Line3,M304,P103,1049,927,7.14,36
2025-01-06,Day,Line4,M401,P102,1099,1082,6.65,24
2025-01-06,Night,Line4,M401,P103,1073,1034,7.85,41
2025-01-06,Day,Line4,M402,P101,1049,1048,6.98,31
2025-01-06,Night,Line4,M402,P104,934,878,7.84,39
2025-01-06,Day,Line4,M403,P102,1168,1132,7.93,44
2025-01-06,Night,Line4,M403,P101,1051,983,7.36,11
2025-01-06,Day,Line4,M404,P101,1179,1102,6.94,37
2025-01-06,Night,Line4,M404,P102,1086,1089,6.99,21
2025-01-07,Day,Line1,M101,P101,983,977,7.69,34
2025-01-07,Night,Line1,M101,P103,958,923,7.68,39
