Date,Machine_ID,Temperature_C,Vibration_mm_s,Downtime_Min,Breakdown_Flag
2025-01-01,M101,66.5,5.27,46,0
2025-01-01,M102,61.6,3.85,29,0
2025-01-01,M103,67.8,4.33,24,0
2025-01-01,M104,63.6,4.59,12,0
2025-01-01,M201,70.1,3.75,0,0
2025-01-01,M202,66.4,5.39,36,0
2025-01-01,M203,71.8,3.69,36,0
2025-01-01,M204,67.8,4.72,51,0
2025-01-01,M301,58.6,4.24,19,0
2025-01-01,M302,70.3,13.76,77,0
2025-01-01,M303,63.6,4.98,27,0
2025-01-01,M304,62.3,4.9,36,0
2025-01-01,M401,63.7,4.2,47,0
2025-01-01,M402,59.1,4.57,0,0
2025-01-01,M403,59.8,4.66,43,0
2025-01-01,M404,73.7,4.57,19,0
2025-01-02,M101,64.1,3.28,31,0
2025-01-02,M102,66.5,4.72,26,0
2025-01-02,M103,67.2,4.98,25,0
2025-01-02,M104,69.3,4.14,26,0
2025-01-02,M201,61.7,3.51,19,0
2025-01-02,M202,72.6,4.46,16,0
2025-01-02,M203,68.0,5.17,11,0
2025-01-02,M204,63.6,5.14,22,0
2025-01-02,M301,73.4,3.41,37,0
2025-01-02,M302,82.7,12.99,81,0
2025-01-02,M303,61.6,4.18,45,0
2025-01-02,M304,71.7,5.97,30,0
2025-01-02,M401,73.6,4.17,5,0
2025-01-02,M402,66.8,4.81,45,0
2025-01-02,M403,79.5,4.08,45,0
2025-01-02,M404,72.9,4.51,13,0
2025-01-03,M101,66.4,4.25,33,0
2025-01-03,M102,70.9,6.06,14,0
2025-01-03,M103,65.5,4.01,20,0
2025-01-03,M104,71.3,5.24,38,0
2025-01-03,M201,73.4,4.39,27,0
2025-01-03,M202,66.4,5.43,0,0
2025-01-03,M203,67.6,4.28,35,0
2025-01-03,M204,69.6,5.22,8,0
2025-01-03,M301,83.1,5.4,2,0
2025-01-03,M302,84.2,10.74,86,0
2025-01-03,M303,71.4,6.0,17,0
2025-01-03,M304,70.3,3.21,18,0
2025-01-03,M401,65.4,5.19,13,0
2025-01-03,M402,69.3,5.96,42,0
2025-01-03,M403,67.9,2.26,62,0
2025-01-03,M404,70.3,4.19,17,0
2025-01-04,M101,62.4,4.89,39,0
2025-01-04,M102,69.3,4.19,55,0
2025-01-04,M103,71.0,4.33,10,0
2025-01-04,M104,66.4,5.53,38,0
2025-01-04,M201,74.4,4.86,50,0
2025-01-04,M202,69.8,3.72,0,0
2025-01-04,M203,67.9,5.3,8,0
2025-01-04,M204,64.7,4.24,26,0
2025-01-04,M301,62.7,5.79,27,0
2025-01-04,M302,81.2,12.49,112,1
2025-01-04,M303,67.5,4.0,26,0
2025-01-04,M304,65.8,3.85,16,0
2025-01-04,M401,67.7,3.33,35,0
2025-01-04,M402,61.0,4.19,8,0
2025-01-04,M403,71.7,6.44,15,0
2025-01-04,M404,78.8,4.66,0,0
2025-01-05,M101,67.8,5.18,13,0
2025-01-05,M102,62.6,3.35,52,0
2025-01-05,M103,68.5,3.98,14,0
2025-01-05,M104,65.6,5.87,51,0
2025-01-05,M201,62.1,4.88,26,0
2025-01-05,M202,69.1,6.92,45,0
2025-01-05,M203,68.5,6.08,43,0
2025-01-05,M204,62.3,4.83,47,0
2025-01-05,M301,77.1,6.17,21,0
