Date,Machine_ID,Product_ID,Defect_Type,Defect_Qty,Scrap_Cost
2025-01-24,M201,P104,Assembly Defect,10,2120
2025-04-28,M403,P104,Calibration Error,7,917
2025-05-30,M401,P104,Assembly Defect,9,2205
2025-08-07,M301,P104,Dimension Error,12,1068
2025-05-07,M203,P102,Dimension Error,8,1040
2025-10-20,M404,P103,Solder Defect,12,1980
2025-11-01,M201,P101,Assembly Defect,14,1358
2025-01-28,M103,P101,Calibration Error,9,2160
2025-09-08,M402,P101,Dimension Error,8,1728
2025-02-26,M303,P101,Dimension Error,5,780
2025-09-23,M301,P104,Dimension Error,6,1344
2025-11-21,M404,P102,Calibration Error,7,980
2025-01-12,M402,P101,Assembly Defect,10,1440
2025-04-21,M303,P104,Assembly Defect,5,745
2025-12-28,M404,P102,Assembly Defect,6,510
2025-06-26,M202,P104,Solder Defect,10,1270
2025-08-28,M101,P104,Dimension Error,6,990
2025-08-10,M404,P101,Dimension Error,6,606
2025-11-22,M104,P102,Calibration Error,2,282
2025-07-24,M104,P102,Solder Defect,8,896
2025-04-07,M404,P104,Assembly Defect,8,1384
2025-11-03,M302,P101,Calibration Error,16,3312
2025-07-30,M403,P101,Assembly Defect,11,2299
2025-01-06,M404,P101,Solder Defect,8,1920
2025-07-27,M304,P101,Solder Defect,7,1323
2025-05-17,M102,P104,Solder Defect,6,1176
2025-09-28,M203,P103,Dimension Error,7,1505
2025-05-18,M203,P101,Calibration Error,11,1595
2025-09-22,M304,P104,Calibration Error,9,1710
2025-06-18,M302,P101,Assembly Defect,16,3808
2025-03-08,M404,P102,Solder Defect,4,948
2025-01-06,M203,P101,Dimension Error,6,1326
2025-09-17,M204,P104,Assembly Defect,15,2130
2025-02-12,M402,P104,Assembly Defect,15,3585
2025-09-15,M301,P103,Assembly Defect,5,450
2025-10-10,M303,P102,Solder Defect,12,1572
2025-04-06,M102,P104,Assembly Defect,11,2101
2025-01-03,M303,P102,Dimension Error,7,1666
2025-11-16,M102,P101,Assembly Defect,8,960
2025-04-16,M102,P102,Dimension Error,6,1062
2025-04-11,M204,P101,Calibration Error,11,1562
2025-07-03,M401,P103,Assembly Defect,6,480
2025-05-06,M101,P104,Solder Defect,10,1700
2025-05-21,M102,P102,Dimension Error,8,1064
2025-03-25,M101,P101,Calibration Error,8,1920
2025-11-08,M304,P102,Solder Defect,10,2220
2025-06-17,M101,P101,Assembly Defect,11,1232
2025-04-13,M103,P102,Solder Defect,9,1602
2025-09-22,M201,P101,Assembly Defect,8,1720
2025-03-05,M102,P102,Solder Defect,8,1344
2025-06-02,M302,P104,Calibration Error,21,3591
2025-08-16,M404,P104,Calibration Error,11,2530
2025-09-27,M201,P103,Assembly Defect,6,1458
2025-12-15,M303,P102,Solder Defect,11,1925
2025-02-13,M202,P104,Calibration Error,3,384
2025-09-21,M201,P104,Assembly Defect,17,1921
2025-10-28,M304,P101,Assembly Defect,9,1143
2025-07-05,M304,P104,Dimension Error,13,2795
2025-09-27,M103,P103,Assembly Defect,8,1848
2025-01-22,M204,P101,Solder Defect,7,1589
2025-08-05,M303,P103,Assembly Defect,4,832
2025-08-21,M401,P101,Assembly Defect,4,332
2025-12-29,M302,P103,Solder Defect,21,1827
2025-09-19,M201,P103,Assembly Defect,11,2024
2025-12-31,M302,P101,Calibration Error,16,1376
2025-08-16,M402,P103,Assembly Defect,7,1190
2025-11-04,M203,P103,Assembly Defect,9,1890
2025-09-19,M103,P101,Calibration Error,5,1245
2025-03-20,M403,P104,Assembly Defect,10,1560
2025-08-17,M403,P104,Dimension Error,6,894
2025-07-10,M202,P103,Assembly Defect,5,550
2025-03-06,M203,P104,Calibration Error,8,1224
2025-10-28,M204,P104,Dimension Error,8,1896
2025-01-20,M101,P104,Solder Defect,11,1672
2025-06-19,M304,P103,Assembly Defect,11,2475
2025-12-19,M402,P104,Assembly Defect,10,1070
2025-08-12,M402,P102,Calibration Error,10,2240
2025-06-24,M402,P104,Solder Defect,4,476
2025-06-18,M304,P102,Assembly Defect,6,522
2025-03-28,M403,P104,Dimension Error,9,1323
2025-11-16,M101,P104,Assembly Defect,9,999
2025-03-21,M201,P104,Calibration Error,10,2030
2025-07-23,M304,P102,Solder Defect,7,1064
2025-07-08,M104,P102,Assembly Defect,7,742
2025-09-12,M102,P101,Assembly Defect,11,1672
2025-07-06,M303,P102,Assembly Defect,12,2040
2025-07-02,M303,P103,Dimension Error,7,889
2025-03-04,M402,P102,Calibration Error,5,875
2025-12-03,M404,P104,Dimension Error,6,1260
2025-01-28,M304,P101,Assembly Defect,12,2736
2025-02-16,M101,P104,Solder Defect,8,1240
2025-04-13,M103,P104,Solder Defect,9,1566
2025-06-18,M404,P103,Calibration Error,13,1339
2025-11-17,M403,P102,Calibration Error,11,1980
2025-10-12,M401,P101,Calibration Error,5,485
2025-12-09,M402,P101,Assembly Defect,6,1470
2025-12-14,M101,P101,Solder Defect,10,1740
2025-07-10,M203,P101,Solder Defect,10,1070
2025-07-09,M203,P102,Solder Defect,10,1210
2025-07-27,M302,P101,Solder Defect,27,3456
2025-12-18,M204,P102,Dimension Error,7,994
2025-09-13,M102,P102,Solder Defect,10,2500
2025-12-09,M204,P104,Calibration Error,11,2717
2025-02-02,M203,P103,Assembly Defect,5,975
2025-09-24,M104,P104,Dimension Error,8,1520
2025-07-26,M204,P103,Calibration Error,9,738
2025-10-06,M204,P103,Solder Defect,5,635
2025-05-31,M202,P104,Dimension Error,9,1386
2025-09-04,M301,P102,Dimension Error,4,632
2025-05-21,M101,P103,Dimension Error,11,2695
2025-10-14,M203,P102,Dimension Error,5,1165
2025-08-11,M402,P102,Dimension Error,6,1392
2025-11-30,M303,P101,Dimension Error,16,3088
2025-06-04,M301,P102,Assembly Defect,7,1253
2025-09-27,M403,P101,Assembly Defect,10,1450
2025-07-16,M203,P103,Calibration Error,6,618
2025-06-17,M303,P104,Dimension Error,5,795
2025-12-01,M201,P102,Assembly Defect,4,328
2025-03-20,M401,P101,Dimension Error,8,1184
2025-10-29,M401,P104,Dimension Error,6,1500
2025-09-23,M103,P101,Calibration Error,7,805
2025-10-23,M201,P102,Calibration Error,8,1184
2025-07-16,M404,P102,Calibration Error,10,930
2025-04-26,M403,P102,Calibration Error,8,1632
2025-12-28,M301,P101,Dimension Error,8,768
2025-04-15,M402,P104,Assembly Defect,10,2130
2025-06-17,M404,P102,Solder Defect,14,2058
2025-06-18,M303,P104,Assembly Defect,9,1755
2025-12-06,M401,P103,Dimension Error,11,2288
2025-07-17,M101,P101,Assembly Defect,6,996
2025-02-04,M201,P104,Dimension Error,6,1476
2025-08-06,M301,P103,Assembly Defect,14,1876
2025-08-01,M204,P102,Dimension Error,10,890
2025-07-08,M402,P101,Assembly Defect,7,1337
2025-07-01,M203,P103,Assembly Defect,14,1750
2025-01-22,M102,P103,Calibration Error,10,1020
2025-12-17,M402,P104,Assembly Defect,8,1568
2025-02-21,M304,P102,Solder Defect,9,1287
2025-06-16,M103,P101,Assembly Defect,9,2232
2025-01-12,M303,P104,Assembly Defect,4,960
2025-02-21,M204,P102,Assembly Defect,4,880
2025-06-13,M102,P101,Assembly Defect,8,1024
2025-04-06,M202,P104,Dimension Error,10,1850
2025-12-30,M203,P102,Dimension Error,11,2541
2025-12-21,M102,P103,Calibration Error,10,1330
2025-04-15,M104,P101,Dimension Error,10,900
2025-09-16,M103,P104,Solder Defect,7,623
2025-07-06,M201,P102,Solder Defect,6,1290
2025-05-17,M304,P104,Assembly Defect,5,1140
2025-07-28,M304,P101,Assembly Defect,8,904
2025-08-31,M101,P102,Assembly Defect,6,1422
2025-11-14,M402,P101,Solder Defect,4,616
2025-04-21,M303,P102,Solder Defect,11,1749
2025-01-04,M404,P104,Assembly Defect,8,888
2025-04-24,M102,P104,Solder Defect,7,574
2025-11-01,M201,P102,Solder Defect,10,1820
2025-10-09,M403,P103,Assembly Defect,12,1572
2025-08-24,M104,P103,Dimension Error,12,1692
2025-03-21,M102,P103,Calibration Error,9,909
2025-11-09,M201,P104,Assembly Defect,6,858
2025-02-14,M202,P104,Dimension Error,6,1110
2025-06-29,M401,P101,Calibration Error,3,408
2025-04-14,M401,P101,Dimension Error,4,684
2025-06-23,M101,P104,Calibration Error,10,1440
2025-08-21,M303,P103,Assembly Defect,16,1888
2025-08-04,M403,P102,Solder Defect,5,705
2025-07-27,M404,P101,Calibration Error,6,1176
2025-06-10,M104,P101,Solder Defect,9,1539
2025-12-17,M402,P104,Solder Defect,6,1134
2025-10-24,M101,P103,Dimension Error,4,396
2025-02-06,M202,P101,Solder Defect,7,1246
2025-08-21,M203,P102,Calibration Error,8,1384
2025-04-07,M204,P102,Solder Defect,13,3133
2025-07-09,M301,P103,Assembly Defect,7,700
2025-08-03,M303,P104,Solder Defect,8,1544
2025-10-25,M302,P102,Calibration Error,13,2795
2025-04-27,M102,P102,Assembly Defect,5,625
2025-07-22,M301,P104,Assembly Defect,6,1440
2025-12-17,M303,P101,Solder Defect,8,928
2025-01-18,M302,P101,Solder Defect,16,2528
2025-10-06,M102,P103,Solder Defect,9,828
2025-11-07,M204,P102,Assembly Defect,7,1260
2025-07-06,M204,P102,Dimension Error,9,1179
2025-05-02,M101,P103,Dimension Error,16,2784
2025-12-25,M302,P102,Dimension Error,15,1200
2025-10-23,M302,P101,Dimension Error,20,2780
2025-08-19,M403,P101,Calibration Error,2,208
2025-08-25,M101,P103,Dimension Error,6,570
2025-02-26,M202,P103,Calibration Error,8,1768
2025-12-15,M204,P102,Dimension Error,6,618
2025-08-18,M304,P104,Solder Defect,10,1960
2025-07-13,M403,P103,Solder Defect,8,1360
2025-11-06,M104,P104,Calibration Error,7,1568
2025-05-03,M101,P101,Solder Defect,3,504
2025-07-05,M103,P104,Calibration Error,5,715
2025-11-30,M103,P104,Calibration Error,13,2288
2025-05-28,M404,P101,Assembly Defect,4,624
2025-01-23,M401,P103,Assembly Defect,11,1870
2025-03-18,M303,P102,Assembly Defect,12,2388
2025-01-11,M404,P104,Assembly Defect,14,1134
2025-10-23,M301,P104,Calibration Error,13,1079
2025-08-29,M303,P104,Calibration Error,11,2717
2025-04-04,M403,P101,Calibration Error,4,740
2025-01-14,M201,P104,Solder Defect,6,666
2025-10-15,M402,P101,Solder Defect,10,860
2025-11-07,M204,P104,Solder Defect,11,2530
2025-11-29,M103,P103,Solder Defect,4,888
2025-02-04,M403,P101,Solder Defect,4,520
2025-03-11,M404,P104,Calibration Error,5,1075
2025-01-13,M304,P104,Dimension Error,7,1435
2025-09-11,M102,P101,Assembly Defect,7,1610
2025-08-26,M201,P104,Calibration Error,8,840
2025-02-23,M303,P104,Dimension Error,6,948
2025-08-11,M101,P104,Dimension Error,9,1179
2025-11-22,M303,P103,Dimension Error,10,2240
2025-12-18,M104,P102,Calibration Error,6,534
2025-07-01,M104,P102,Assembly Defect,14,2548
2025-05-03,M403,P103,Calibration Error,8,1360
2025-01-23,M102,P104,Assembly Defect,6,642
2025-08-06,M403,P103,Dimension Error,6,1458
2025-08-31,M203,P103,Solder Defect,9,1989
2025-03-08,M104,P104,Dimension Error,12,1764
2025-09-18,M403,P103,Dimension Error,12,2340
2025-11-07,M204,P103,Assembly Defect,7,1729
2025-10-09,M302,P102,Calibration Error,14,2492
2025-11-06,M404,P101,Calibration Error,8,1352
2025-03-16,M102,P101,Calibration Error,9,855
2025-12-23,M401,P103,Dimension Error,8,1944
2025-10-23,M104,P102,Dimension Error,11,2255
2025-02-27,M103,P104,Calibration Error,7,931
2025-07-09,M204,P101,Calibration Error,16,3840
2025-02-09,M204,P104,Calibration Error,8,720
2025-06-14,M401,P102,Dimension Error,5,875
2025-04-29,M204,P103,Assembly Defect,9,1125
2025-08-05,M202,P101,Calibration Error,11,2563
2025-12-12,M301,P104,Assembly Defect,10,2020
2025-09-16,M104,P101,Calibration Error,9,1998
2025-03-22,M401,P102,Assembly Defect,6,1044
2025-03-04,M403,P102,Calibration Error,8,896
2025-03-12,M204,P101,Dimension Error,11,2695
2025-08-24,M402,P103,Solder Defect,6,852
2025-10-18,M301,P104,Assembly Defect,9,2196
2025-11-28,M102,P103,Assembly Defect,6,1218
2025-12-21,M404,P104,Solder Defect,6,1182
2025-06-03,M203,P101,Calibration Error,10,1570
2025-04-19,M302,P103,Calibration Error,18,2574
2025-09-15,M103,P101,Assembly Defect,6,1236
2025-06-30,M102,P102,Dimension Error,6,720
2025-01-26,M301,P101,Calibration Error,8,1416
2025-10-30,M304,P104,Assembly Defect,5,930
2025-04-06,M301,P102,Calibration Error,11,2497
2025-02-21,M402,P104,Dimension Error,11,891
2025-09-24,M303,P103,Solder Defect,3,546
2025-10-21,M301,P102,Assembly Defect,6,888
2025-02-24,M102,P101,Solder Defect,8,1248
2025-03-16,M404,P104,Assembly Defect,6,1434
2025-04-09,M304,P103,Calibration Error,13,1417
2025-01-01,M104,P101,Dimension Error,7,1652
2025-11-15,M104,P102,Calibration Error,5,1200
2025-10-28,M204,P103,Dimension Error,10,1620
2025-04-18,M302,P101,Solder Defect,20,3260
2025-09-13,M102,P102,Assembly Defect,5,985
2025-07-09,M401,P101,Solder Defect,2,370
2025-05-27,M202,P104,Calibration Error,6,942
2025-06-21,M303,P103,Dimension Error,6,726
2025-01-02,M202,P101,Calibration Error,9,1503
2025-12-30,M301,P104,Calibration Error,12,1392
2025-12-06,M204,P103,Solder Defect,11,2255
2025-02-12,M403,P102,Assembly Defect,10,1380
2025-05-22,M401,P104,Solder Defect,6,1434
2025-06-24,M301,P104,Solder Defect,12,2988
2025-01-26,M402,P101,Calibration Error,8,1808
2025-09-27,M103,P101,Dimension Error,8,1816
2025-07-03,M104,P104,Calibration Error,10,1660
2025-03-10,M103,P103,Solder Defect,8,1000
2025-01-01,M202,P102,Assembly Defect,6,1452
2025-02-24,M404,P103,Dimension Error,6,582
2025-07-16,M102,P103,Dimension Error,7,1008
2025-12-07,M103,P103,Assembly Defect,4,444
2025-04-09,M203,P102,Dimension Error,4,720
2025-07-04,M101,P102,Assembly Defect,12,2784
2025-02-04,M303,P104,Assembly Defect,9,1989
2025-03-01,M403,P101,Assembly Defect,11,2211
2025-10-08,M202,P101,Assembly Defect,9,1125
2025-06-05,M202,P102,Solder Defect,7,1603
2025-03-01,M104,P103,Calibration Error,6,1356
2025-10-26,M301,P101,Assembly Defect,9,972
2025-05-26,M101,P101,Calibration Error,7,1477
2025-07-05,M401,P102,Solder Defect,5,760
2025-03-28,M402,P103,Calibration Error,7,567
2025-03-03,M202,P101,Solder Defect,9,1755
2025-06-04,M102,P102,Solder Defect,7,1666
2025-09-17,M302,P103,Dimension Error,18,3744
2025-09-20,M401,P104,Assembly Defect,5,1195
2025-06-02,M103,P102,Dimension Error,11,1397
2025-11-04,M104,P102,Dimension Error,4,788
2025-12-09,M303,P101,Dimension Error,6,954
2025-05-20,M104,P103,Calibration Error,6,708
2025-02-28,M101,P101,Solder Defect,5,640
2025-02-01,M303,P102,Calibration Error,9,954
2025-07-03,M401,P102,Calibration Error,8,1232
2025-04-04,M301,P101,Calibration Error,8,936
2025-05-09,M401,P102,Dimension Error,4,808
2025-02-11,M204,P102,Solder Defect,4,460
2025-06-10,M204,P103,Calibration Error,10,1410
2025-10-02,M402,P104,Solder Defect,4,776
2025-08-31,M401,P101,Assembly Defect,6,684
2025-11-13,M203,P104,Dimension Error,8,1448
2025-08-29,M302,P101,Dimension Error,22,2508
2025-02-08,M102,P104,Assembly Defect,12,1500
2025-05-30,M102,P101,Calibration Error,6,810
2025-12-24,M102,P103,Solder Defect,6,504
2025-12-19,M404,P102,Assembly Defect,7,1386
2025-03-12,M304,P103,Calibration Error,10,1900
2025-06-27,M302,P101,Dimension Error,24,5184
2025-10-31,M203,P102,Dimension Error,6,1146
2025-12-30,M204,P103,Calibration Error,14,1904
2025-10-12,M104,P102,Calibration Error,11,1947
2025-11-28,M203,P102,Dimension Error,9,1980
2025-11-30,M402,P101,Dimension Error,7,630
2025-05-21,M202,P102,Assembly Defect,7,1372
2025-11-30,M204,P101,Assembly Defect,6,1368
2025-05-01,M103,P101,Dimension Error,16,3648
2025-10-31,M202,P101,Calibration Error,7,1127
2025-05-08,M302,P104,Solder Defect,22,1782
2025-08-29,M101,P104,Dimension Error,7,1225
2025-01-04,M302,P103,Dimension Error,18,3024
2025-08-22,M401,P104,Dimension Error,4,448
2025-02-06,M204,P101,Assembly Defect,10,2280
2025-07-03,M103,P103,Assembly Defect,7,1197
2025-05-23,M202,P102,Assembly Defect,4,916
2025-06-20,M303,P101,Calibration Error,7,896
2025-12-29,M102,P103,Solder Defect,9,1521
2025-05-31,M104,P104,Calibration Error,7,1736
